16,22
5,28
19,38
10,31
10,32
17,32
17,18
8,30
25,36
3,22
13,39
20,38
14,50
19,33
7,40
15,35
13,38
15,34
18,22
12,32
4,8
14,40
14,42
9,27
10,42
16,29
18,28
20,48
36,42
12,50
6,27
16,32
2,43
16,34
8,22
3,30
18,43
10,25
4,27
10,28
14,41
22,22
18,40
9,22
22,46
20,31
8,36
24,41
11,24
8,29
9,40
12,29
9,25
8,32
12,26
8,43
12,25
12,29
10,45
29,37
8,33
10,42
10,27
19,24
26,44
18,38
2,16
4,38
17,35
0,4
11,19
14,37
3,10
10,27
3,20
6,24
16,39
4,22
22,46
11,34
0,11
17,25
8,24
15,21
20,36
5,39
13,34
0,5
12,22
19,33
11,51
11,38
8,36
20,36
21,45
21,24
14,37
7,30
4,21
6,33
